lambda	signal	smoothed_signal	increasing	local optima
5.70897e-07	0.221702	0.22142785243194074		
5.71377e-07	0.219532	0.2194127608402649		
5.71857e-07	0.21729	0.21740784670910623		
5.72337e-07	0.214994	0.2154477562868564		
5.72817e-07	0.212678	0.21357873432011745		
5.73297e-07	0.210391	0.21185516582548988		
5.73777e-07	0.208196	0.21033152895143245		
5.74257e-07	0.206162	0.2090512649553709		
5.74737e-07	0.204363	0.2080372781311772		
5.75218e-07	0.202864	0.20728845567995802		
5.75698e-07	0.201716	0.20678372209778217		
5.76178e-07	0.200952	0.206490280031332		
5.76658e-07	0.200591	0.20637175726154972		
5.77138e-07	0.200634	0.20639433242222086		
5.77618e-07	0.201069	0.2065666339117324		
5.78098e-07	0.201878	0.20692477770223786		
5.78578e-07	0.203037	0.207507272051524		
5.79058e-07	0.204522	0.2083505164665574		
5.79538e-07	0.206306	0.2094827099191377		
5.80018e-07	0.208362	0.21091771516297445		
5.80498e-07	0.210665	0.212650939962038		
5.80978e-07	0.213181	0.21465829400403066		
5.81458e-07	0.215875	0.21689880272605738		
5.81938e-07	0.218697	0.2193186992129568		
5.82418e-07	0.221594	0.22185730240313029		
5.82898e-07	0.224506	0.22445262027401605		
5.83378e-07	0.227384	0.22704715142065027		
